position,number,driver,constructor,Q1,Q2,Q3
1,2,Felipe Massa,Ferrari,1:44.519,1:44.014,1:44.801
2,22,Lewis Hamilton,McLaren,1:44.501,1:44.932,1:45.465
3,1,Kimi Räikkönen,Ferrari,1:44.282,1:44.232,1:45.617
4,4,Robert Kubica,BMW Sauber,1:44.740,1:44.519,1:45.779
5,23,Heikki Kovalainen,McLaren,1:44.311,1:44.207,1:45.873
6,3,Nick Heidfeld,BMW Sauber,1:45.548,1:44.520,1:45.964
7,15,Sebastian Vettel,Toro Rosso,1:45.042,1:44.261,1:46.244
8,12,Timo Glock,Toyota,1:45.184,1:44.441,1:46.328
9,7,Nico Rosberg,Williams,1:45.103,1:44.429,1:46.611
10,8,Kazuki Nakajima,Williams,1:45.127,1:44.826,1:47.547
11,11,Jarno Trulli,Toyota,1:45.642,1:45.038,
12,16,Jenson Button,Honda,1:45.660,1:45.133,
13,10,Mark Webber,Red Bull,1:45.493,1:45.212,
14,9,David Coulthard,Red Bull,1:46.028,1:45.298,
15,5,Fernando Alonso,Renault,1:44.971,,
16,6,Nelson Piquet Jr.,Renault,1:46.037,,
17,14,Sébastien Bourdais,Toro Rosso,1:46.389,,
18,17,Rubens Barrichello,Honda,1:46.583,,
19,20,Adrian Sutil,Force India,1:47.940,,
20,21,Giancarlo Fisichella,Force India,,,
