position,number,driver,constructor,laps,grid,status,points
1,2,Emerson Fittipaldi,Team Lotus,96,2,Finished,9
2,8,François Cevert,Tyrrell,96,6,Finished,6
3,6,Jackie Stewart,Tyrrell,96,4,Finished,4
4,18,Jacky Ickx,Ferrari,96,3,Finished,3
5,14,Denny Hulme,McLaren,95,8,+1 Lap,2
6,12,Wilson Fittipaldi,Brabham,95,13,+1 Lap,1
7,32,Clay Regazzoni,BRM,93,1,+3 Laps,0
8,16,Peter Revson,McLaren,92,11,+4 Laps,0
9,20,Arturo Merzario,Ferrari,92,14,+4 Laps,0
10,22,Mike Beuttler,March,90,18,Suspension,0
11,24,Jean-Pierre Jarier,March,84,17,Radiator,0
12,30,Jean-Pierre Beltoise,BRM,79,7,Engine,0
13,38,Howden Ganley,Iso Marlboro,79,19,Not classified,0
14,4,Ronnie Peterson,Team Lotus,67,5,Oil pressure,0
15,34,Niki Lauda,BRM,66,13,Oil pressure,0
16,10,Carlos Reutemann,Brabham,16,9,Gearbox,0
17,26,Mike Hailwood,Surtees,10,10,Halfshaft,0
18,28,Carlos Pace,Surtees,10,15,Suspension,0
19,36,Nanni Galli,Iso Marlboro,0,16,Engine,0
