round,raceName,date,time,circuit,country
1,South African Grand Prix,1992-03-01,,Kyalami,South Africa
2,Mexican Grand Prix,1992-03-22,,Autódromo Hermanos Rodríguez,Mexico
3,Brazilian Grand Prix,1992-04-05,,Autódromo José Carlos Pace,Brazil
4,Spanish Grand Prix,1992-05-03,,Circuit de Barcelona-Catalunya,Spain
5,San Marino Grand Prix,1992-05-17,,Autodromo Enzo e Dino Ferrari,Italy
6,Monaco Grand Prix,1992-05-31,,Circuit de Monaco,Monaco
7,Canadian Grand Prix,1992-06-14,,Circuit Gilles Villeneuve,Canada
8,French Grand Prix,1992-07-05,,Circuit de Nevers Magny-Cours,France
9,British Grand Prix,1992-07-12,,Silverstone Circuit,UK
10,German Grand Prix,1992-07-26,,Hockenheimring,Germany
11,Hungarian Grand Prix,1992-08-16,,Hungaroring,Hungary
12,Belgian Grand Prix,1992-08-30,,Circuit de Spa-Francorchamps,Belgium
13,Italian Grand Prix,1992-09-13,,Autodromo Nazionale di Monza,Italy
14,Portuguese Grand Prix,1992-09-27,,Autódromo do Estoril,Portugal
15,Japanese Grand Prix,1992-10-25,,Suzuka Circuit,Japan
16,Australian Grand Prix,1992-11-08,,Adelaide Street Circuit,Australia
