round,raceName,date,time,circuit,country
1,Bahrain Grand Prix,2006-03-12,14:30:00Z,Bahrain International Circuit,Bahrain
2,Malaysian Grand Prix,2006-03-19,15:00:00Z,Sepang International Circuit,Malaysia
3,Australian Grand Prix,2006-04-02,14:00:00Z,Albert Park Grand Prix Circuit,Australia
4,San Marino Grand Prix,2006-04-23,14:00:00Z,Autodromo Enzo e Dino Ferrari,Italy
5,European Grand Prix,2006-05-07,14:00:00Z,Nürburgring,Germany
6,Spanish Grand Prix,2006-05-14,14:00:00Z,Circuit de Barcelona-Catalunya,Spain
7,Monaco Grand Prix,2006-05-28,14:00:00Z,Circuit de Monaco,Monaco
8,British Grand Prix,2006-06-11,12:00:00Z,Silverstone Circuit,UK
9,Canadian Grand Prix,2006-06-25,13:00:00Z,Circuit Gilles Villeneuve,Canada
10,United States Grand Prix,2006-07-02,14:00:00Z,Indianapolis Motor Speedway,USA
11,French Grand Prix,2006-07-16,14:00:00Z,Circuit de Nevers Magny-Cours,France
12,German Grand Prix,2006-07-30,14:00:00Z,Hockenheimring,Germany
13,Hungarian Grand Prix,2006-08-06,14:00:00Z,Hungaroring,Hungary
14,Turkish Grand Prix,2006-08-27,15:00:00Z,Istanbul Park,Turkey
15,Italian Grand Prix,2006-09-10,14:00:00Z,Autodromo Nazionale di Monza,Italy
16,Chinese Grand Prix,2006-10-01,14:00:00Z,Shanghai International Circuit,China
17,Japanese Grand Prix,2006-10-08,14:00:00Z,Suzuka Circuit,Japan
18,Brazilian Grand Prix,2006-10-22,14:00:00Z,Autódromo José Carlos Pace,Brazil
