position,number,driver,constructor,Q1,Q2,Q3
1,5,Felipe Massa,Ferrari,1:35.340,1:34.454,1:35.043
2,1,Fernando Alonso,McLaren,1:34.942,1:34.057,1:35.310
3,6,Kimi Räikkönen,Ferrari,1:35.138,1:34.687,1:35.479
4,2,Lewis Hamilton,McLaren,1:35.028,1:34.650,1:36.045
5,9,Nick Heidfeld,BMW Sauber,1:35.617,1:35.203,1:36.543
6,16,Nico Rosberg,Williams,1:35.755,1:35.380,1:36.829
7,10,Robert Kubica,BMW Sauber,1:35.294,1:34.739,1:36.839
8,12,Jarno Trulli,Toyota,1:35.666,1:35.255,1:36.902
9,11,Ralf Schumacher,Toyota,1:35.736,1:35.595,1:37.078
10,15,Mark Webber,Red Bull,1:35.727,1:35.579,1:37.345
11,4,Heikki Kovalainen,Renault,1:36.092,1:35.630,
12,3,Giancarlo Fisichella,Renault,1:35.879,1:35.706,
13,14,David Coulthard,Red Bull,1:35.730,1:35.766,
14,22,Takuma Sato,Super Aguri,1:36.430,1:35.945,
15,7,Jenson Button,Honda,1:35.913,1:36.088,
16,18,Vitantonio Liuzzi,Toro Rosso,1:36.140,1:36.145,
17,19,Scott Speed,Toro Rosso,1:36.578,,
18,23,Anthony Davidson,Super Aguri,1:36.816,,
19,8,Rubens Barrichello,Honda,1:36.827,,
20,17,Alexander Wurz,Williams,1:37.326,,
21,21,Christijan Albers,Spyker,1:38.279,,
22,20,Adrian Sutil,Spyker,1:38.415,,
