position,number,driver,constructor,grid,laps,status,points
1,1,Max Verstappen,Red Bull,1,23,Finished,8
2,16,Charles Leclerc,Ferrari,2,23,Finished,7
3,55,Carlos Sainz,Ferrari,3,23,Finished,6
4,63,George Russell,Mercedes,4,23,Finished,5
5,11,Sergio Pérez,Red Bull,13,23,Finished,4
6,31,Esteban Ocon,Alpine F1 Team,5,23,Finished,3
7,20,Kevin Magnussen,Haas F1 Team,6,23,Finished,2
8,44,Lewis Hamilton,Mercedes,9,23,Finished,1
9,47,Mick Schumacher,Haas F1 Team,7,23,Finished,0
10,77,Valtteri Bottas,Alfa Romeo,12,23,Finished,0
11,4,Lando Norris,McLaren,15,23,Finished,0
12,3,Daniel Ricciardo,McLaren,16,23,Finished,0
13,18,Lance Stroll,Aston Martin,17,23,Finished,0
14,24,Guanyu Zhou,Alfa Romeo,18,23,Finished,0
15,10,Pierre Gasly,AlphaTauri,10,23,Finished,0
16,23,Alexander Albon,Williams,11,23,Finished,0
17,22,Yuki Tsunoda,AlphaTauri,14,23,Finished,0
18,6,Nicholas Latifi,Williams,19,23,Finished,0
19,5,Sebastian Vettel,Aston Martin,20,21,Collision damage,0
20,14,Fernando Alonso,Alpine F1 Team,8,0,Electrical,0
