position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:39.626,1:38.530,1:38.086
2,4,Lewis Hamilton,McLaren,1:39.169,1:38.616,1:38.410
3,18,Pastor Maldonado,Williams,1:38.825,1:38.570,1:38.475
4,10,Romain Grosjean,Lotus F1,1:39.530,1:38.489,1:38.505
5,9,Kimi Räikkönen,Lotus F1,1:39.464,1:38.531,1:38.513
6,8,Nico Rosberg,Mercedes,1:39.061,1:38.504,1:38.623
7,14,Kamui Kobayashi,Sauber,1:39.651,1:38.703,1:38.741
8,12,Nico Hülkenberg,Force India,1:39.009,1:38.689,1:38.752
9,3,Jenson Button,McLaren,1:39.622,1:38.563,1:38.801
10,11,Paul di Resta,Force India,1:38.858,1:38.519,1:38.992
11,5,Fernando Alonso,Ferrari,1:39.409,1:38.707,
12,7,Michael Schumacher,Mercedes,1:39.447,1:38.770,
13,6,Felipe Massa,Ferrari,1:39.388,1:38.780,
14,19,Bruno Senna,Williams,1:39.449,1:39.207,
15,15,Sergio Pérez,Sauber,1:39.353,1:39.358,
16,20,Heikki Kovalainen,Caterham,1:40.087,1:40.295,
17,16,Daniel Ricciardo,Toro Rosso,1:39.924,1:40.358,
18,17,Jean-Éric Vergne,Toro Rosso,1:40.203,,
19,2,Mark Webber,Red Bull,1:40.395,,
20,21,Vitaly Petrov,Caterham,1:40.457,,
21,22,Pedro de la Rosa,HRT,1:42.171,,
22,23,Narain Karthikeyan,HRT,1:42.527,,
23,25,Charles Pic,Marussia,1:42.675,,
