Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Benetton,102,9
2,Damon Hill,Williams,69,4
3,David Coulthard,Williams,49,1
4,Johnny Herbert,Benetton,45,2
5,Jean Alesi,Ferrari,42,1
6,Gerhard Berger,Ferrari,31,0
7,Mika Häkkinen,McLaren,17,0
8,Olivier Panis,Ligier,16,0
9,Heinz-Harald Frentzen,Sauber,15,0
10,Mark Blundell,McLaren,13,0
11,Rubens Barrichello,Jordan,11,0
12,Eddie Irvine,Jordan,10,0
13,Martin Brundle,Ligier,7,0
14,Gianni Morbidelli,Footwork,5,0
15,Mika Salo,Tyrrell,5,0
16,Jean-Christophe Boullion,Sauber,3,0
17,Aguri Suzuki,Ligier,1,0
18,Pedro Lamy,Minardi,1,0
19,Pierluigi Martini,Minardi,0,0
20,Ukyo Katayama,Tyrrell,0,0
21,Pedro Diniz,Forti,0,0
22,Massimiliano Papis,Footwork,0,0
23,Luca Badoer,Minardi,0,0
24,Taki Inoue,Footwork,0,0
25,Andrea Montermini,Pacific,0,0
26,Bertrand Gachot,Pacific,0,0
27,Domenico Schiattarella,Simtek,0,0
28,Karl Wendlinger,Sauber,0,0
29,Jan Magnussen,McLaren,0,0
30,Nigel Mansell,McLaren,0,0
