position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:39.403,1:37.344,1:36.015
2,33,Max Verstappen,Red Bull,1:38.751,1:37.214,1:36.334
3,5,Sebastian Vettel,Ferrari,1:38.218,1:37.876,1:36.628
4,77,Valtteri Bottas,Mercedes,1:39.291,1:37.254,1:36.702
5,7,Kimi Räikkönen,Ferrari,1:38.534,1:37.194,1:36.794
6,3,Daniel Ricciardo,Red Bull,1:38.153,1:37.406,1:36.996
7,11,Sergio Pérez,Force India,1:38.814,1:38.342,1:37.985
8,8,Romain Grosjean,Haas F1 Team,1:38.685,1:38.367,1:38.320
9,31,Esteban Ocon,Force India,1:38.912,1:38.534,1:38.365
10,27,Nico Hülkenberg,Renault,1:38.932,1:38.450,1:38.588
11,14,Fernando Alonso,McLaren,1:39.022,1:38.641,
12,55,Carlos Sainz,Renault,1:39.103,1:38.716,
13,16,Charles Leclerc,Sauber,1:39.206,1:38.747,
14,9,Marcus Ericsson,Sauber,1:39.366,1:39.453,
15,10,Pierre Gasly,Toro Rosso,1:39.614,1:39.691,
16,20,Kevin Magnussen,Haas F1 Team,1:39.644,,
17,28,Brendon Hartley,Toro Rosso,1:39.809,,
18,2,Stoffel Vandoorne,McLaren,1:39.864,,
19,35,Sergey Sirotkin,Williams,1:41.263,,
20,18,Lance Stroll,Williams,1:41.334,,
