position,number,driver,constructor,Q1,Q2,Q3
1,22,Lewis Hamilton,McLaren,1:19.376,1:19.473,1:20.899
2,23,Heikki Kovalainen,McLaren,1:19.945,1:19.480,1:21.140
3,2,Felipe Massa,Ferrari,1:19.578,1:19.068,1:21.191
4,4,Robert Kubica,BMW Sauber,1:20.053,1:19.776,1:21.281
5,12,Timo Glock,Toyota,1:19.980,1:19.246,1:21.326
6,1,Kimi Räikkönen,Ferrari,1:20.006,1:19.546,1:21.516
7,5,Fernando Alonso,Renault,1:20.229,1:19.816,1:21.698
8,10,Mark Webber,Red Bull,1:20.073,1:20.046,1:21.732
9,11,Jarno Trulli,Toyota,1:19.942,1:19.486,1:21.767
10,6,Nelson Piquet Jr.,Renault,1:20.583,1:20.131,1:22.371
11,15,Sebastian Vettel,Toro Rosso,1:20.157,1:20.144,
12,16,Jenson Button,Honda,1:20.888,1:20.332,
13,9,David Coulthard,Red Bull,1:20.505,1:20.502,
14,14,Sébastien Bourdais,Toro Rosso,1:20.640,1:20.963,
15,7,Nico Rosberg,Williams,1:20.748,,
16,3,Nick Heidfeld,BMW Sauber,1:21.045,,
17,8,Kazuki Nakajima,Williams,1:21.085,,
18,17,Rubens Barrichello,Honda,1:21.332,,
19,21,Giancarlo Fisichella,Force India,1:21.670,,
20,20,Adrian Sutil,Force India,1:22.113,,
