position,number,driver,constructor,Q1,Q2,Q3
1,14,Rubens Barrichello,Jordan,2:21.163,,
2,5,Michael Schumacher,Benetton,2:21.494,,
3,0,Damon Hill,Williams,2:21.681,,
4,15,Eddie Irvine,Jordan,2:22.074,,
5,27,Jean Alesi,Ferrari,2:22.202,,
6,6,Jos Verstappen,Benetton,2:22.218,,
7,2,David Coulthard,Williams,2:22.359,,
8,7,Mika Häkkinen,McLaren,2:22.441,,
9,30,Heinz-Harald Frentzen,Sauber,2:22.634,,
10,23,Pierluigi Martini,Minardi,2:23.326,,
11,28,Gerhard Berger,Ferrari,2:23.895,,
12,4,Mark Blundell,Tyrrell,2:24.048,,
13,8,Martin Brundle,McLaren,2:24.117,,
14,10,Gianni Morbidelli,Footwork,2:25.114,,
15,29,Andrea de Cesaris,Sauber,2:25.695,,
16,25,Éric Bernard,Ligier,2:26.044,,
17,26,Olivier Panis,Ligier,2:26.079,,
18,24,Michele Alboreto,Minardi,2:26.738,,
19,19,Philippe Alliot,Larrousse,2:26.901,,
20,12,Johnny Herbert,Team Lotus,2:27.155,,
21,31,David Brabham,Simtek,2:27.212,,
22,20,Érik Comas,Larrousse,2:28.156,,
23,3,Ukyo Katayama,Tyrrell,2:28.979,,
24,9,Christian Fittipaldi,Footwork,2:30.931,,
25,32,Jean-Marc Gounon,Simtek,2:31.755,,
26,11,Philippe Adams,Team Lotus,2:33.885,,
