round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1995-03-26,,Autódromo José Carlos Pace,Brazil
2,Argentine Grand Prix,1995-04-09,,Autódromo Juan y Oscar Gálvez,Argentina
3,San Marino Grand Prix,1995-04-30,,Autodromo Enzo e Dino Ferrari,Italy
4,Spanish Grand Prix,1995-05-14,,Circuit de Barcelona-Catalunya,Spain
5,Monaco Grand Prix,1995-05-28,,Circuit de Monaco,Monaco
6,Canadian Grand Prix,1995-06-11,,Circuit Gilles Villeneuve,Canada
7,French Grand Prix,1995-07-02,,Circuit de Nevers Magny-Cours,France
8,British Grand Prix,1995-07-16,,Silverstone Circuit,UK
9,German Grand Prix,1995-07-30,,Hockenheimring,Germany
10,Hungarian Grand Prix,1995-08-13,,Hungaroring,Hungary
11,Belgian Grand Prix,1995-08-27,,Circuit de Spa-Francorchamps,Belgium
12,Italian Grand Prix,1995-09-10,,Autodromo Nazionale di Monza,Italy
13,Portuguese Grand Prix,1995-09-24,,Autódromo do Estoril,Portugal
14,European Grand Prix,1995-10-01,,Nürburgring,Germany
15,Pacific Grand Prix,1995-10-22,,Okayama International Circuit,Japan
16,Japanese Grand Prix,1995-10-29,,Suzuka Circuit,Japan
17,Australian Grand Prix,1995-11-12,,Adelaide Street Circuit,Australia
