position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:24.251,1:23.383,1:23.397
2,7,Kimi Räikkönen,Ferrari,1:24.662,1:23.757,1:23.631
3,5,Sebastian Vettel,Ferrari,1:24.989,1:23.577,1:23.685
4,6,Nico Rosberg,Mercedes,1:24.609,1:23.864,1:23.703
5,19,Felipe Massa,Williams,1:25.184,1:23.983,1:23.940
6,77,Valtteri Bottas,Williams,1:24.979,1:24.313,1:24.127
7,11,Sergio Pérez,Force India,1:24.801,1:24.379,1:24.626
8,8,Romain Grosjean,Lotus F1,1:25.144,1:24.448,1:25.054
9,27,Nico Hülkenberg,Force India,1:24.937,1:24.510,1:25.317
10,9,Marcus Ericsson,Sauber,1:25.122,1:24.457,1:26.214
11,13,Pastor Maldonado,Lotus F1,1:25.429,1:24.525,
12,12,Felipe Nasr,Sauber,1:25.121,1:24.898,
13,55,Carlos Sainz,Toro Rosso,1:25.410,1:25.618,
14,26,Daniil Kvyat,Red Bull,1:25.742,1:25.796,
15,3,Daniel Ricciardo,Red Bull,1:25.633,,
16,22,Jenson Button,McLaren,1:26.058,,
17,14,Fernando Alonso,McLaren,1:26.154,,
18,28,Will Stevens,Manor Marussia,1:27.731,,
19,98,Roberto Merhi,Manor Marussia,1:27.912,,
20,33,Max Verstappen,Toro Rosso,,,
