position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:12.218,1:09.062,1:08.455
2,6,Nico Rosberg,Mercedes,1:10.976,1:08.634,1:08.655
3,5,Sebastian Vettel,Ferrari,1:11.184,1:09.392,1:08.810
4,19,Felipe Massa,Williams,1:11.830,1:09.719,1:09.192
5,27,Nico Hülkenberg,Force India,1:11.319,1:09.604,1:09.278
6,77,Valtteri Bottas,Williams,1:11.894,1:09.598,1:09.319
7,33,Max Verstappen,Toro Rosso,1:11.307,1:09.631,1:09.612
8,26,Daniil Kvyat,Red Bull,1:12.092,1:10.187,1:09.694
9,12,Felipe Nasr,Sauber,1:12.001,1:09.652,1:09.713
10,8,Romain Grosjean,Lotus F1,1:11.821,1:09.920,
11,13,Pastor Maldonado,Lotus F1,1:11.661,1:10.374,
12,9,Marcus Ericsson,Sauber,1:12.388,1:10.426,
13,55,Carlos Sainz,Toro Rosso,1:11.158,1:10.465,
14,3,Daniel Ricciardo,Red Bull,1:11.973,1:10.482,
15,14,Fernando Alonso,McLaren,1:12.508,1:10.736,
16,11,Sergio Pérez,Force India,1:12.522,,
17,22,Jenson Button,McLaren,1:12.632,,
18,7,Kimi Räikkönen,Ferrari,1:12.867,,
19,98,Roberto Merhi,Manor Marussia,1:14.071,,
20,28,Will Stevens,Manor Marussia,1:15.368,,
