position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:28.466,1:27.712,1:27.511
2,77,Valtteri Bottas,Mercedes,1:28.057,1:28.054,1:27.622
3,33,Max Verstappen,Red Bull,1:28.285,1:27.953,1:27.653
4,16,Charles Leclerc,Ferrari,1:28.310,1:28.459,1:28.054
5,11,Sergio Pérez,Red Bull,1:28.021,1:27.946,1:28.123
6,10,Pierre Gasly,AlphaTauri,1:28.401,1:28.314,1:28.125
7,4,Lando Norris,McLaren,1:28.338,1:28.344,1:28.180
8,22,Yuki Tsunoda,AlphaTauri,1:28.503,1:28.222,1:28.442
9,31,Esteban Ocon,Alpine F1 Team,1:28.752,1:28.574,1:28.647
10,99,Antonio Giovinazzi,Alfa Romeo,1:28.899,1:28.616,1:28.754
11,3,Daniel Ricciardo,McLaren,1:28.216,1:28.668,
12,7,Kimi Räikkönen,Alfa Romeo,1:28.856,1:28.885,
13,14,Fernando Alonso,Alpine F1 Team,1:28.944,1:28.920,
14,63,George Russell,Williams,1:28.926,1:29.054,
15,55,Carlos Sainz,Ferrari,1:28.237,1:53.652,
16,6,Nicholas Latifi,Williams,1:29.177,,
17,5,Sebastian Vettel,Aston Martin,1:29.198,,
18,18,Lance Stroll,Aston Martin,1:29.368,,
19,47,Mick Schumacher,Haas F1 Team,1:29.464,,
20,9,Nikita Mazepin,Haas F1 Team,1:30.473,,
