Position,Driver,Constructor,Points,Wins
1,Mika Häkkinen,McLaren,100,8
2,Michael Schumacher,Ferrari,86,6
3,David Coulthard,McLaren,56,1
4,Eddie Irvine,Ferrari,47,0
5,Jacques Villeneuve,Williams,21,0
6,Damon Hill,Jordan,20,1
7,Heinz-Harald Frentzen,Williams,17,0
8,Alexander Wurz,Benetton,17,0
9,Giancarlo Fisichella,Benetton,16,0
10,Ralf Schumacher,Jordan,14,0
11,Jean Alesi,Sauber,9,0
12,Rubens Barrichello,Stewart,4,0
13,Mika Salo,Arrows,3,0
14,Pedro Diniz,Arrows,3,0
15,Johnny Herbert,Sauber,1,0
16,Jarno Trulli,Prost,1,0
17,Jan Magnussen,Stewart,1,0
18,Shinji Nakano,Minardi,0,0
19,Esteban Tuero,Minardi,0,0
20,Ricardo Rosset,Tyrrell,0,0
21,Toranosuke Takagi,Tyrrell,0,0
22,Olivier Panis,Prost,0,0
23,Jos Verstappen,Stewart,0,0
