round,raceName,date,time,circuit,country
1,Australian Grand Prix,2000-03-12,,Albert Park Grand Prix Circuit,Australia
2,Brazilian Grand Prix,2000-03-26,,Autódromo José Carlos Pace,Brazil
3,San Marino Grand Prix,2000-04-09,,Autodromo Enzo e Dino Ferrari,Italy
4,British Grand Prix,2000-04-23,,Silverstone Circuit,UK
5,Spanish Grand Prix,2000-05-07,,Circuit de Barcelona-Catalunya,Spain
6,European Grand Prix,2000-05-21,,Nürburgring,Germany
7,Monaco Grand Prix,2000-06-04,,Circuit de Monaco,Monaco
8,Canadian Grand Prix,2000-06-18,,Circuit Gilles Villeneuve,Canada
9,French Grand Prix,2000-07-02,,Circuit de Nevers Magny-Cours,France
10,Austrian Grand Prix,2000-07-16,,Red Bull Ring,Austria
11,German Grand Prix,2000-07-30,,Hockenheimring,Germany
12,Hungarian Grand Prix,2000-08-13,,Hungaroring,Hungary
13,Belgian Grand Prix,2000-08-27,,Circuit de Spa-Francorchamps,Belgium
14,Italian Grand Prix,2000-09-10,,Autodromo Nazionale di Monza,Italy
15,United States Grand Prix,2000-09-24,,Indianapolis Motor Speedway,USA
16,Japanese Grand Prix,2000-10-08,,Suzuka Circuit,Japan
17,Malaysian Grand Prix,2000-10-22,,Sepang International Circuit,Malaysia
