Position,Driver,Constructor,Points,Wins
1,Clay Regazzoni,Ferrari,16,0
2,Niki Lauda,Ferrari,15,1
3,Emerson Fittipaldi,McLaren,13,1
4,Denny Hulme,McLaren,10,1
5,Carlos Reutemann,Brabham,9,1
6,Mike Hailwood,McLaren,9,0
7,Jean-Pierre Beltoise,BRM,8,0
8,Hans-Joachim Stuck,March,5,0
9,Jacky Ickx,Team Lotus,4,0
10,Patrick Depailler,Tyrrell,4,0
11,Carlos Pace,Surtees,3,0
12,Jody Scheckter,Tyrrell,2,0
13,Ronnie Peterson,Team Lotus,1,0
14,Arturo Merzario,Iso Marlboro,1,0
15,Brian Redman,Shadow,0,0
16,Howden Ganley,March,0,0
17,James Hunt,March,0,0
18,Henri Pescarolo,BRM,0,0
19,Vittorio Brambilla,March,0,0
20,Graham Hill,Lola,0,0
21,John Watson,Brabham,0,0
22,Guy Edwards,Lola,0,0
23,Ian Scheckter,Team Lotus,0,0
24,Eddie Keizan,Tyrrell,0,0
25,Tim Schenken,Trojan,0,0
26,François Migault,BRM,0,0
27,Richard Robarts,Brabham,0,0
28,Jochen Mass,Surtees,0,0
29,Dave Charlton,McLaren,0,0
30,Jean-Pierre Jarier,Shadow,0,0
