round,raceName,date,time,circuit,country
1,Monaco Grand Prix,1959-05-10,,Circuit de Monaco,Monaco
2,Indianapolis 500,1959-05-30,,Indianapolis Motor Speedway,USA
3,Dutch Grand Prix,1959-05-31,,Circuit Park Zandvoort,Netherlands
4,French Grand Prix,1959-07-05,,Reims-Gueux,France
5,British Grand Prix,1959-07-18,,Aintree,UK
6,German Grand Prix,1959-08-02,,AVUS,Germany
7,Portuguese Grand Prix,1959-08-23,,Monsanto Park Circuit,Portugal
8,Italian Grand Prix,1959-09-13,,Autodromo Nazionale di Monza,Italy
9,United States Grand Prix,1959-12-12,,Sebring International Raceway,USA
