round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1985-04-07,,Autódromo Internacional Nelson Piquet,Brazil
2,Portuguese Grand Prix,1985-04-21,,Autódromo do Estoril,Portugal
3,San Marino Grand Prix,1985-05-05,,Autodromo Enzo e Dino Ferrari,Italy
4,Monaco Grand Prix,1985-05-19,,Circuit de Monaco,Monaco
5,Canadian Grand Prix,1985-06-16,,Circuit Gilles Villeneuve,Canada
6,Detroit Grand Prix,1985-06-23,,Detroit Street Circuit,USA
7,French Grand Prix,1985-07-07,,Circuit Paul Ricard,France
8,British Grand Prix,1985-07-21,,Silverstone Circuit,UK
9,German Grand Prix,1985-08-04,,Nürburgring,Germany
10,Austrian Grand Prix,1985-08-18,,Red Bull Ring,Austria
11,Dutch Grand Prix,1985-08-25,,Circuit Park Zandvoort,Netherlands
12,Italian Grand Prix,1985-09-08,,Autodromo Nazionale di Monza,Italy
13,Belgian Grand Prix,1985-09-15,,Circuit de Spa-Francorchamps,Belgium
14,European Grand Prix,1985-10-06,,Brands Hatch,UK
15,South African Grand Prix,1985-10-19,,Kyalami,South Africa
16,Australian Grand Prix,1985-11-03,,Adelaide Street Circuit,Australia
