round,raceName,date,time,circuit,country
1,United States Grand Prix West,1981-03-15,,Long Beach,USA
2,Brazilian Grand Prix,1981-03-29,,Autódromo Internacional Nelson Piquet,Brazil
3,Argentine Grand Prix,1981-04-12,,Autódromo Juan y Oscar Gálvez,Argentina
4,San Marino Grand Prix,1981-05-03,,Autodromo Enzo e Dino Ferrari,Italy
5,Belgian Grand Prix,1981-05-17,,Zolder,Belgium
6,Monaco Grand Prix,1981-05-31,,Circuit de Monaco,Monaco
7,Spanish Grand Prix,1981-06-21,,Jarama,Spain
8,French Grand Prix,1981-07-05,,Dijon-Prenois,France
9,British Grand Prix,1981-07-18,,Silverstone Circuit,UK
10,German Grand Prix,1981-08-02,,Hockenheimring,Germany
11,Austrian Grand Prix,1981-08-16,,Red Bull Ring,Austria
12,Dutch Grand Prix,1981-08-30,,Circuit Park Zandvoort,Netherlands
13,Italian Grand Prix,1981-09-13,,Autodromo Nazionale di Monza,Italy
14,Canadian Grand Prix,1981-09-27,,Circuit Gilles Villeneuve,Canada
15,Caesars Palace Grand Prix,1981-10-17,,Las Vegas Street Circuit,USA
