position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:36.296,1:36.450,1:34.999
2,6,Nico Rosberg,Mercedes,1:36.397,1:36.351,1:35.215
3,3,Daniel Ricciardo,Red Bull,1:36.759,1:36.255,1:35.509
4,33,Max Verstappen,Red Bull,1:36.613,1:36.857,1:35.747
5,7,Kimi Räikkönen,Ferrari,1:36.985,1:36.584,1:36.131
6,5,Sebastian Vettel,Ferrari,1:37.151,1:36.462,1:36.358
7,27,Nico Hülkenberg,Force India,1:36.950,1:36.626,1:36.628
8,77,Valtteri Bottas,Williams,1:37.456,1:37.202,1:37.116
9,19,Felipe Massa,Williams,1:37.402,1:37.214,1:37.269
10,55,Carlos Sainz,Toro Rosso,1:37.744,1:37.175,1:37.326
11,11,Sergio Pérez,Force India,1:37.345,1:37.353,
12,14,Fernando Alonso,McLaren,1:37.913,1:37.417,
13,26,Daniil Kvyat,Toro Rosso,1:37.844,1:37.480,
14,21,Esteban Gutiérrez,Haas F1 Team,1:38.053,1:37.773,
15,30,Jolyon Palmer,Renault,1:38.084,1:37.935,
16,9,Marcus Ericsson,Sauber,1:38.040,1:39.356,
17,8,Romain Grosjean,Haas F1 Team,1:38.308,,
18,20,Kevin Magnussen,Renault,1:38.317,,
19,22,Jenson Button,McLaren,1:38.327,,
20,94,Pascal Wehrlein,Manor Marussia,1:38.548,,
21,12,Felipe Nasr,Sauber,1:38.583,,
22,31,Esteban Ocon,Manor Marussia,1:38.806,,
