position,number,driver,constructor,Q1,Q2,Q3
1,3,Jacques Villeneuve,Williams,1:24.473,,
2,4,Heinz-Harald Frentzen,Williams,1:25.271,,
3,14,Olivier Panis,Prost,1:25.491,,
4,5,Michael Schumacher,Ferrari,1:25.773,,
5,22,Rubens Barrichello,Stewart,1:25.942,,
6,11,Ralf Schumacher,Jordan,1:26.218,,
7,6,Eddie Irvine,Ferrari,1:26.327,,
8,16,Johnny Herbert,Sauber,1:26.564,,
9,12,Giancarlo Fisichella,Jordan,1:26.619,,
10,10,David Coulthard,McLaren,1:26.799,,
11,7,Jean Alesi,Benetton,1:27.076,,
12,8,Gerhard Berger,Benetton,1:27.259,,
13,1,Damon Hill,Arrows,1:27.281,,
14,17,Nicola Larini,Sauber,1:27.690,,
15,23,Jan Magnussen,Stewart,1:28.035,,
16,18,Jos Verstappen,Tyrrell,1:28.094,,
17,9,Mika Häkkinen,McLaren,1:28.135,,
18,21,Jarno Trulli,Minardi,1:28.160,,
19,19,Mika Salo,Tyrrell,1:28.224,,
20,15,Shinji Nakano,Prost,1:28.366,,
21,20,Ukyo Katayama,Minardi,1:28.413,,
22,2,Pedro Diniz,Arrows,1:28.696,,
