round,raceName,date,time,circuit,country
1,Austrian Grand Prix,2020-07-05,13:10:00Z,Red Bull Ring,Austria
2,Styrian Grand Prix,2020-07-12,13:10:00Z,Red Bull Ring,Austria
3,Hungarian Grand Prix,2020-07-19,13:10:00Z,Hungaroring,Hungary
4,British Grand Prix,2020-08-02,13:10:00Z,Silverstone Circuit,UK
5,70th Anniversary Grand Prix,2020-08-09,13:10:00Z,Silverstone Circuit,UK
6,Spanish Grand Prix,2020-08-16,13:10:00Z,Circuit de Barcelona-Catalunya,Spain
7,Belgian Grand Prix,2020-08-30,13:10:00Z,Circuit de Spa-Francorchamps,Belgium
8,Italian Grand Prix,2020-09-06,13:10:00Z,Autodromo Nazionale di Monza,Italy
9,Tuscan Grand Prix,2020-09-13,13:10:00Z,Autodromo Internazionale del Mugello,Italy
10,Russian Grand Prix,2020-09-27,11:10:00Z,Sochi Autodrom,Russia
11,Eifel Grand Prix,2020-10-11,13:10:00Z,Nürburgring,Germany
12,Portuguese Grand Prix,2020-10-25,12:10:00Z,Autódromo Internacional do Algarve,Portugal
13,Emilia Romagna Grand Prix,2020-11-01,12:10:00Z,Autodromo Enzo e Dino Ferrari,Italy
14,Turkish Grand Prix,2020-11-15,10:10:00Z,Istanbul Park,Turkey
15,Bahrain Grand Prix,2020-11-29,14:10:00Z,Bahrain International Circuit,Bahrain
16,Sakhir Grand Prix,2020-12-06,17:10:00Z,Bahrain International Circuit,Bahrain
17,Abu Dhabi Grand Prix,2020-12-13,13:10:00Z,Yas Marina Circuit,UAE
