Position,Driver,Constructor,Points,Wins
1,Graham Hill,BRM,32,1
2,Jim Clark,Lotus-Climax,30,3
3,John Surtees,Ferrari,19,1
4,Richie Ginther,BRM,17,0
5,Lorenzo Bandini,Ferrari,15,1
6,Jack Brabham,Brabham-Climax,11,0
7,Peter Arundell,Lotus-Climax,11,0
8,Dan Gurney,Brabham-Climax,10,1
9,Bruce McLaren,Cooper-Climax,7,0
10,Bob Anderson,Brabham-Climax,5,0
11,Tony Maggs,BRM,4,0
12,Jo Siffert,Lotus-BRM,3,0
13,Jo Bonnier,Cooper-Climax,3,0
14,Innes Ireland,Lotus-BRM,2,0
15,Chris Amon,Lotus-BRM,2,0
16,Maurice Trintignant,BRM,2,0
17,Phil Hill,Cooper-Climax,1,0
18,Mike Hailwood,Lotus-BRM,1,0
19,Giancarlo Baghetti,BRM,0,0
20,Trevor Taylor,BRP,0,0
21,Mike Spence,Lotus-Climax,0,0
22,Gerhard Mitter,Lotus-Climax,0,0
23,Ronnie Bucknum,Honda,0,0
24,Peter Revson,Lotus-BRM,0,0
25,John Taylor,Cooper-Climax,0,0
26,Jochen Rindt,Brabham-BRM,0,0
27,André Pilette,Scirocco,0,0
28,Carel Godin de Beaufort,Porsche,0,0
29,Edgar Barth,Cooper-Climax,0,0
30,Ian Raby,Brabham-BRM,0,0
