position,number,driver,constructor,Q1,Q2,Q3
1,4,Lewis Hamilton,McLaren,1:48.285,1:46.665,1:46.362
2,18,Pastor Maldonado,Williams,1:49.494,1:47.602,1:46.804
3,1,Sebastian Vettel,Red Bull,1:48.240,1:46.791,1:46.905
4,3,Jenson Button,McLaren,1:49.381,1:47.661,1:46.939
5,5,Fernando Alonso,Ferrari,1:49.391,1:47.567,1:47.216
6,11,Paul di Resta,Force India,1:48.028,1:47.667,1:47.241
7,2,Mark Webber,Red Bull,1:48.717,1:47.513,1:47.475
8,10,Romain Grosjean,Lotus F1,1:47.688,1:47.529,1:47.788
9,7,Michael Schumacher,Mercedes,1:49.546,1:47.823,
10,8,Nico Rosberg,Mercedes,1:49.463,1:47.943,
11,12,Nico Hülkenberg,Force India,1:49.547,1:47.975,
12,9,Kimi Räikkönen,Lotus F1,1:48.169,1:48.261,
13,6,Felipe Massa,Ferrari,1:49.767,1:48.344,
14,15,Sergio Pérez,Sauber,1:49.055,1:48.505,
15,16,Daniel Ricciardo,Toro Rosso,1:49.023,1:48.774,
16,17,Jean-Éric Vergne,Toro Rosso,1:49.564,1:48.849,
17,19,Bruno Senna,Williams,1:49.809,,
18,14,Kamui Kobayashi,Sauber,1:49.933,,
19,21,Vitaly Petrov,Caterham,1:50.846,,
20,20,Heikki Kovalainen,Caterham,1:51.137,,
21,24,Timo Glock,Marussia,1:51.370,,
22,25,Charles Pic,Marussia,1:51.762,,
23,23,Narain Karthikeyan,HRT,1:52.372,,
24,22,Pedro de la Rosa,HRT,1:53.355,,
