position,number,driver,constructor,Q1,Q2,Q3
1,1,Michael Schumacher,Benetton,1:27.274,,
2,28,Gerhard Berger,Ferrari,1:27.282,,
3,6,David Coulthard,Williams,1:27.459,,
4,5,Damon Hill,Williams,1:27.512,,
5,27,Jean Alesi,Ferrari,1:27.813,,
6,8,Mika Häkkinen,McLaren,1:28.343,,
7,15,Eddie Irvine,Jordan,1:28.516,,
8,6,Johnny Herbert,Benetton,1:29.350,,
9,7,Nigel Mansell,McLaren,1:29.517,,
10,14,Rubens Barrichello,Jordan,1:29.551,,
11,9,Gianni Morbidelli,Footwork,1:29.582,,
12,26,Olivier Panis,Ligier,1:30.760,,
13,4,Mika Salo,Tyrrell,1:31.035,,
14,30,Heinz-Harald Frentzen,Sauber,1:31.358,,
15,3,Ukyo Katayama,Tyrrell,1:31.630,,
16,25,Aguri Suzuki,Ligier,1:31.913,,
17,12,Jos Verstappen,Simtek,1:32.156,,
18,23,Pierluigi Martini,Minardi,1:32.445,,
19,10,Taki Inoue,Footwork,1:32.710,,
20,24,Luca Badoer,Minardi,1:33.071,,
21,29,Karl Wendlinger,Sauber,1:33.494,,
22,16,Bertrand Gachot,Pacific,1:33.892,,
23,11,Domenico Schiattarella,Simtek,1:33.965,,
24,17,Andrea Montermini,Pacific,1:35.169,,
25,22,Roberto Moreno,Forti,1:36.065,,
26,21,Pedro Diniz,Forti,1:36.624,,
