Position,Driver,Constructor,Points,Wins
1,Jim Clark,Lotus-Climax,18,2
2,Graham Hill,BRM,15,1
3,Jackie Stewart,BRM,11,0
4,John Surtees,Ferrari,9,0
5,Bruce McLaren,Cooper-Climax,8,0
6,Lorenzo Bandini,Ferrari,6,0
7,Mike Spence,Lotus-Climax,3,0
8,Jack Brabham,Brabham-Climax,3,0
9,Jo Siffert,Brabham-BRM,1,0
10,Richie Ginther,Honda,1,0
11,Jo Bonnier,Brabham-Climax,0,0
12,Denny Hulme,Brabham-Climax,0,0
13,Paul Hawkins,Brabham-Ford,0,0
14,Bob Anderson,Brabham-Climax,0,0
15,Dan Gurney,Brabham-Climax,0,0
16,Peter de Klerk,Alfa Romeo,0,0
17,Jochen Rindt,Cooper-Climax,0,0
18,Tony Maggs,Lotus-BRM,0,0
19,Frank Gardner,Brabham-BRM,0,0
20,Lucien Bianchi,BRM,0,0
21,Innes Ireland,Lotus-BRM,0,0
22,Sam Tingle,LDS-Alfa Romeo,0,0
23,Richard Attwood,Lotus-BRM,0,0
24,David Prophet,Brabham-Ford,0,0
25,Ronnie Bucknum,Honda,0,0
26,Masten Gregory,BRM,0,0
27,Mike Hailwood,Lotus-BRM,0,0
28,John Love,Cooper-Climax,0,0
29,Trevor Blokdyk,Cooper-Ford,0,0
30,Neville Lederle,Lotus-Climax,0,0
