position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:33.051,1:31.424,1:30.466
2,4,Jenson Button,McLaren,1:32.947,1:31.434,1:30.475
3,3,Lewis Hamilton,McLaren,1:32.843,1:31.139,1:30.617
4,6,Felipe Massa,Ferrari,1:33.235,1:31.909,1:30.804
5,5,Fernando Alonso,Ferrari,1:32.817,1:31.612,1:30.886
6,2,Mark Webber,Red Bull,1:33.135,1:31.576,1:31.156
7,7,Michael Schumacher,Mercedes,1:33.748,1:32.116,
8,9,Bruno Senna,Renault,1:33.359,1:32.297,
9,10,Vitaly Petrov,Renault,1:32.877,1:32.245,
10,16,Kamui Kobayashi,Sauber,1:32.626,1:32.380,
11,14,Adrian Sutil,Force India,1:32.761,1:32.463,
12,15,Paul di Resta,Force India,1:33.499,1:32.746,
13,11,Rubens Barrichello,Williams,1:33.921,1:33.079,
14,12,Pastor Maldonado,Williams,1:33.781,1:33.224,
15,18,Sébastien Buemi,Toro Rosso,1:33.064,1:33.227,
16,19,Jaime Alguersuari,Toro Rosso,1:35.111,1:33.427,
17,17,Sergio Pérez,Sauber,1:34.704,,
18,20,Heikki Kovalainen,Lotus,1:35.454,,
19,21,Jarno Trulli,Lotus,1:35.514,,
20,25,Jérôme d'Ambrosio,Virgin,1:36.439,,
21,24,Timo Glock,Virgin,1:36.507,,
22,22,Daniel Ricciardo,HRT,1:37.846,,
23,8,Nico Rosberg,Mercedes,,,
24,23,Vitantonio Liuzzi,HRT,,,
