position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:06.947,1:06.228,1:07.922
2,6,Nico Rosberg,Mercedes,1:06.516,1:06.403,1:08.465
3,27,Nico Hülkenberg,Force India,1:07.385,1:07.257,1:09.285
4,5,Sebastian Vettel,Ferrari,1:06.761,1:06.602,1:09.781
5,22,Jenson Button,McLaren,1:07.653,1:07.572,1:09.900
6,7,Kimi Räikkönen,Ferrari,1:07.240,1:06.940,1:09.901
7,3,Daniel Ricciardo,Red Bull,1:07.500,1:06.840,1:09.980
8,77,Valtteri Bottas,Williams,1:07.148,1:06.911,1:10.440
9,33,Max Verstappen,Red Bull,1:07.131,1:06.866,1:11.153
10,19,Felipe Massa,Williams,1:07.419,1:07.145,1:11.977
11,21,Esteban Gutiérrez,Haas F1 Team,1:07.660,1:07.578,
12,94,Pascal Wehrlein,Manor Marussia,1:07.565,1:07.700,
13,8,Romain Grosjean,Haas F1 Team,1:07.662,1:07.850,
14,14,Fernando Alonso,McLaren,1:07.671,1:08.154,
15,55,Carlos Sainz,Toro Rosso,1:07.618,,
16,11,Sergio Pérez,Force India,1:07.657,,
17,20,Kevin Magnussen,Renault,1:07.941,,
18,30,Jolyon Palmer,Renault,1:07.965,,
19,88,Rio Haryanto,Manor Marussia,1:08.026,,
20,26,Daniil Kvyat,Toro Rosso,1:08.409,,
21,9,Marcus Ericsson,Sauber,1:08.418,,
22,12,Felipe Nasr,Sauber,1:08.446,,
