Position,Driver,Constructor,Points,Wins
1,Phil Hill,Ferrari,19,1
2,Wolfgang von Trips,Ferrari,18,1
3,Stirling Moss,Lotus-Climax,12,1
4,Richie Ginther,Ferrari,12,0
5,Giancarlo Baghetti,Ferrari,9,1
6,Dan Gurney,Porsche,9,0
7,Jim Clark,Lotus-Climax,8,0
8,Innes Ireland,Lotus-Climax,3,0
9,Olivier Gendebien,Emeryson,3,0
10,Bruce McLaren,Cooper-Climax,3,0
11,John Surtees,Cooper-Climax,2,0
12,Graham Hill,BRM,1,0
13,Jack Brabham,Cooper-Climax,1,0
14,Jo Bonnier,Porsche,0,0
15,Maurice Trintignant,Cooper-Maserati,0,0
16,Cliff Allison,Lotus-Climax,0,0
17,Roy Salvadori,Cooper-Climax,0,0
18,Tony Brooks,BRM,0,0
19,Hans Herrmann,Porsche,0,0
20,Jackie Lewis,Cooper-Climax,0,0
21,Masten Gregory,Cooper-Climax,0,0
22,Henry Taylor,Lotus-Climax,0,0
23,Carel Godin de Beaufort,Porsche,0,0
24,Michael May,Lotus-Climax,0,0
25,Trevor Taylor,Lotus-Climax,0,0
26,Ian Burgess,Lotus-Climax,0,0
27,Lorenzo Bandini,Cooper-Maserati,0,0
28,Willy Mairesse,Lotus-Climax,0,0
29,Lucien Bianchi,Emeryson,0,0
30,Giorgio Scarlatti,De Tomaso-Osca,0,0
