position,number,driver,constructor,Q1,Q2,Q3
1,1,Fernando Alonso,McLaren,1:16.059,1:15.431,1:15.726
2,2,Lewis Hamilton,McLaren,1:15.685,1:15.479,1:15.905
3,5,Felipe Massa,Ferrari,1:16.786,1:16.034,1:15.967
4,3,Giancarlo Fisichella,Renault,1:17.596,1:16.054,1:16.285
5,16,Nico Rosberg,Williams,1:16.870,1:16.100,1:16.439
6,15,Mark Webber,Red Bull,1:17.816,1:16.420,1:16.784
7,9,Nick Heidfeld,BMW Sauber,1:17.385,1:15.733,1:16.832
8,10,Robert Kubica,BMW Sauber,1:17.584,1:15.576,1:16.955
9,8,Rubens Barrichello,Honda,1:17.244,1:16.454,1:17.498
10,7,Jenson Button,Honda,1:17.297,1:16.457,1:17.939
11,17,Alexander Wurz,Williams,1:17.874,1:16.662,
12,18,Vitantonio Liuzzi,Toro Rosso,1:16.720,1:16.703,
13,14,David Coulthard,Red Bull,1:17.204,1:16.319,
14,12,Jarno Trulli,Toyota,1:17.686,1:16.988,
15,4,Heikki Kovalainen,Renault,1:17.836,1:17.125,
16,6,Kimi Räikkönen,Ferrari,1:16.251,,
17,23,Anthony Davidson,Super Aguri,1:18.250,,
18,19,Scott Speed,Toro Rosso,1:18.390,,
19,20,Adrian Sutil,Spyker,1:18.418,,
20,11,Ralf Schumacher,Toyota,1:18.539,,
21,22,Takuma Sato,Super Aguri,1:18.554,,
22,21,Christijan Albers,Spyker,,,
