position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Ferrari,1:29.060,1:28.341,1:27.958
2,7,Kimi Räikkönen,Ferrari,1:28.951,1:28.515,1:28.101
3,77,Valtteri Bottas,Mercedes,1:29.275,1:28.794,1:28.124
4,44,Lewis Hamilton,Mercedes,1:29.396,1:28.458,1:28.220
5,3,Daniel Ricciardo,Red Bull,1:29.552,1:28.962,1:28.398
6,10,Pierre Gasly,Toro Rosso,1:30.121,1:29.836,1:29.329
7,20,Kevin Magnussen,Haas F1 Team,1:29.594,1:29.623,1:29.358
8,27,Nico Hülkenberg,Renault,1:30.260,1:29.187,1:29.570
9,31,Esteban Ocon,Force India,1:30.338,1:30.009,1:29.874
10,55,Carlos Sainz,Renault,1:29.893,1:29.802,1:29.986
11,28,Brendon Hartley,Toro Rosso,1:30.412,1:30.105,
12,11,Sergio Pérez,Force India,1:30.218,1:30.156,
13,14,Fernando Alonso,McLaren,1:30.530,1:30.212,
14,2,Stoffel Vandoorne,McLaren,1:30.479,1:30.525,
15,33,Max Verstappen,Red Bull,1:29.374,,
16,8,Romain Grosjean,Haas F1 Team,1:30.530,,
17,9,Marcus Ericsson,Sauber,1:31.063,,
18,35,Sergey Sirotkin,Williams,1:31.414,,
19,16,Charles Leclerc,Sauber,1:31.420,,
20,18,Lance Stroll,Williams,1:31.503,,
