Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Ferrari,50,2
2,Lewis Hamilton,Mercedes,33,0
3,Valtteri Bottas,Mercedes,22,0
4,Fernando Alonso,McLaren,16,0
5,Kimi Räikkönen,Ferrari,15,0
6,Nico Hülkenberg,Renault,14,0
7,Pierre Gasly,Toro Rosso,12,0
8,Daniel Ricciardo,Red Bull,12,0
9,Kevin Magnussen,Haas F1 Team,10,0
10,Max Verstappen,Red Bull,8,0
11,Stoffel Vandoorne,McLaren,6,0
12,Marcus Ericsson,Sauber,2,0
13,Carlos Sainz,Renault,1,0
14,Esteban Ocon,Force India,1,0
15,Sergio Pérez,Force India,0,0
16,Charles Leclerc,Sauber,0,0
17,Romain Grosjean,Haas F1 Team,0,0
18,Lance Stroll,Williams,0,0
19,Brendon Hartley,Toro Rosso,0,0
20,Sergey Sirotkin,Williams,0,0
