position,number,driver,constructor,laps,grid,status,points
1,7,David Coulthard,McLaren,62,1,Finished,10
2,3,Michael Schumacher,Ferrari,62,3,Finished,6
3,4,Eddie Irvine,Ferrari,62,4,Finished,4
4,1,Jacques Villeneuve,Williams,62,6,Finished,3
5,2,Heinz-Harald Frentzen,Williams,62,8,Finished,2
6,14,Jean Alesi,Sauber,61,12,+1 Lap,1
7,10,Ralf Schumacher,Jordan,60,9,+2 Laps,0
8,23,Esteban Tuero,Minardi,60,19,+2 Laps,0
9,17,Mika Salo,Arrows,60,14,+2 Laps,0
10,9,Damon Hill,Jordan,57,7,Hydraulics,0
11,11,Olivier Panis,Prost,56,13,+6 Laps,0
12,20,Ricardo Rosset,Tyrrell,48,22,Engine,0
13,21,Toranosuke Takagi,Tyrrell,40,15,Engine,0
14,12,Jarno Trulli,Prost,34,16,Throttle,0
15,22,Shinji Nakano,Minardi,27,21,Engine,0
16,16,Pedro Diniz,Arrows,18,18,Engine,0
17,8,Mika Häkkinen,McLaren,17,2,Gearbox,0
18,5,Giancarlo Fisichella,Benetton,17,10,Spun off,0
19,6,Alexander Wurz,Benetton,17,5,Engine,0
20,15,Johnny Herbert,Sauber,12,11,Puncture,0
21,19,Jan Magnussen,Stewart,8,20,Transmission,0
22,18,Rubens Barrichello,Stewart,0,17,Spun off,0
