Position,Driver,Constructor,Points,Wins
1,Max Verstappen,Red Bull,182,5
2,Lewis Hamilton,Mercedes,150,3
3,Sergio Pérez,Red Bull,104,1
4,Lando Norris,McLaren,101,0
5,Valtteri Bottas,Mercedes,92,0
6,Charles Leclerc,Ferrari,62,0
7,Carlos Sainz,Ferrari,60,0
8,Daniel Ricciardo,McLaren,40,0
9,Pierre Gasly,AlphaTauri,39,0
10,Sebastian Vettel,Aston Martin,30,0
11,Fernando Alonso,Alpine F1 Team,20,0
12,Lance Stroll,Aston Martin,14,0
13,Esteban Ocon,Alpine F1 Team,12,0
14,Yuki Tsunoda,AlphaTauri,9,0
15,Kimi Räikkönen,Alfa Romeo,1,0
16,Antonio Giovinazzi,Alfa Romeo,1,0
17,George Russell,Williams,0,0
18,Mick Schumacher,Haas F1 Team,0,0
19,Nikita Mazepin,Haas F1 Team,0,0
20,Nicholas Latifi,Williams,0,0
