position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:08.733,1:08.068,1:07.934
2,33,Max Verstappen,Red Bull,1:09.329,1:08.499,1:08.372
3,77,Valtteri Bottas,Mercedes,1:09.040,1:08.426,1:08.469
4,11,Sergio Pérez,Red Bull,1:09.172,1:08.973,1:08.483
5,10,Pierre Gasly,AlphaTauri,1:09.347,1:08.903,1:08.777
6,55,Carlos Sainz,Ferrari,1:09.046,1:09.031,1:08.826
7,16,Charles Leclerc,Ferrari,1:09.155,1:08.859,1:08.960
8,4,Lando Norris,McLaren,1:09.365,1:09.030,1:08.980
9,3,Daniel Ricciardo,McLaren,1:09.374,1:09.093,1:09.039
10,14,Fernando Alonso,Alpine F1 Team,1:09.391,1:09.137,1:09.113
11,31,Esteban Ocon,Alpine F1 Team,1:09.430,1:09.189,
12,5,Sebastian Vettel,Aston Martin,1:09.451,1:09.399,
13,22,Yuki Tsunoda,AlphaTauri,1:09.350,1:09.483,
14,7,Kimi Räikkönen,Alfa Romeo,1:09.598,1:09.503,
15,99,Antonio Giovinazzi,Alfa Romeo,1:09.342,1:10.227,
16,18,Lance Stroll,Aston Martin,1:09.663,,
17,6,Nicholas Latifi,Williams,1:09.897,,
18,63,George Russell,Williams,1:09.953,,
19,47,Mick Schumacher,Haas F1 Team,1:10.329,,
20,9,Nikita Mazepin,Haas F1 Team,1:10.589,,
