Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,88,7
2,Mika Häkkinen,McLaren,80,4
3,David Coulthard,McLaren,63,3
4,Rubens Barrichello,Ferrari,55,1
5,Ralf Schumacher,Williams,24,0
6,Giancarlo Fisichella,Benetton,18,0
7,Jacques Villeneuve,BAR,14,0
8,Heinz-Harald Frentzen,Jordan,11,0
9,Jenson Button,Williams,10,0
10,Jarno Trulli,Jordan,6,0
11,Mika Salo,Sauber,6,0
12,Jos Verstappen,Arrows,5,0
13,Eddie Irvine,Jaguar,3,0
14,Ricardo Zonta,BAR,3,0
15,Alexander Wurz,Benetton,2,0
16,Pedro de la Rosa,Arrows,2,0
17,Pedro Diniz,Sauber,0,0
18,Johnny Herbert,Jaguar,0,0
19,Marc Gené,Minardi,0,0
20,Nick Heidfeld,Prost,0,0
21,Gastón Mazzacane,Minardi,0,0
22,Jean Alesi,Prost,0,0
23,Luciano Burti,Jaguar,0,0
