position,number,driver,constructor,Q1,Q2,Q3
1,2,Ayrton Senna,Williams,1:10.218,,
2,5,Michael Schumacher,Benetton,1:10.440,,
3,0,Damon Hill,Williams,1:10.771,,
4,7,Mika Häkkinen,McLaren,1:11.683,,
5,28,Gerhard Berger,Ferrari,1:11.744,,
6,8,Martin Brundle,McLaren,1:12.351,,
7,27,Nicola Larini,Ferrari,1:12.372,,
8,14,Rubens Barrichello,Jordan,1:12.409,,
9,9,Christian Fittipaldi,Footwork,1:12.444,,
10,6,Jos Verstappen,Benetton,1:12.554,,
11,30,Heinz-Harald Frentzen,Sauber,1:12.686,,
12,4,Mark Blundell,Tyrrell,1:12.751,,
13,10,Gianni Morbidelli,Footwork,1:12.866,,
14,3,Ukyo Katayama,Tyrrell,1:13.013,,
15,24,Michele Alboreto,Minardi,1:13.016,,
16,20,Érik Comas,Larrousse,1:13.111,,
17,23,Pierluigi Martini,Minardi,1:13.529,,
18,25,Éric Bernard,Ligier,1:13.613,,
19,29,Karl Wendlinger,Sauber,1:13.855,,
20,15,Aguri Suzuki,Jordan,1:13.932,,
21,19,Olivier Beretta,Larrousse,1:14.101,,
22,26,Olivier Panis,Ligier,1:14.106,,
23,12,Johnny Herbert,Team Lotus,1:14.424,,
24,11,Pedro Lamy,Team Lotus,1:14.657,,
25,31,David Brabham,Simtek,1:14.748,,
26,32,Roland Ratzenberger,Simtek,1:16.536,,
