round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1976-01-25,,Autódromo José Carlos Pace,Brazil
2,South African Grand Prix,1976-03-06,,Kyalami,South Africa
3,United States Grand Prix West,1976-03-28,,Long Beach,USA
4,Spanish Grand Prix,1976-05-02,,Jarama,Spain
5,Belgian Grand Prix,1976-05-16,,Zolder,Belgium
6,Monaco Grand Prix,1976-05-30,,Circuit de Monaco,Monaco
7,Swedish Grand Prix,1976-06-13,,Scandinavian Raceway,Sweden
8,French Grand Prix,1976-07-04,,Circuit Paul Ricard,France
9,British Grand Prix,1976-07-18,,Brands Hatch,UK
10,German Grand Prix,1976-08-01,,Nürburgring,Germany
11,Austrian Grand Prix,1976-08-15,,Red Bull Ring,Austria
12,Dutch Grand Prix,1976-08-29,,Circuit Park Zandvoort,Netherlands
13,Italian Grand Prix,1976-09-12,,Autodromo Nazionale di Monza,Italy
14,Canadian Grand Prix,1976-10-03,,Mosport International Raceway,Canada
15,United States Grand Prix,1976-10-10,,Watkins Glen,USA
16,Japanese Grand Prix,1976-10-24,,Fuji Speedway,Japan
