position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:26.387,1:25.435,1:25.283
2,2,Mark Webber,Red Bull,1:26.744,1:25.610,1:25.327
3,4,Lewis Hamilton,McLaren,1:26.516,1:25.816,1:25.544
4,3,Jenson Button,McLaren,1:26.564,1:25.467,1:25.659
5,5,Fernando Alonso,Ferrari,1:26.829,1:25.834,1:25.773
6,6,Felipe Massa,Ferrari,1:26.939,1:26.111,1:25.857
7,9,Kimi Räikkönen,Lotus F1,1:26.740,1:26.101,1:26.236
8,15,Sergio Pérez,Sauber,1:27.179,1:26.076,1:26.360
9,18,Pastor Maldonado,Williams,1:26.048,1:25.983,1:26.713
10,8,Nico Rosberg,Mercedes,1:26.458,1:25.976,
11,10,Romain Grosjean,Lotus F1,1:26.897,1:26.136,
12,12,Nico Hülkenberg,Force India,1:27.185,1:26.241,
13,19,Bruno Senna,Williams,1:26.851,1:26.331,
14,7,Michael Schumacher,Mercedes,1:27.482,1:26.574,
15,16,Daniel Ricciardo,Toro Rosso,1:27.006,1:26.777,
16,11,Paul di Resta,Force India,1:27.462,1:26.989,
17,14,Kamui Kobayashi,Sauber,1:27.517,1:27.219,
18,17,Jean-Éric Vergne,Toro Rosso,1:27.525,,
19,21,Vitaly Petrov,Caterham,1:28.756,,
20,20,Heikki Kovalainen,Caterham,1:29.500,,
21,24,Timo Glock,Marussia,1:29.613,,
22,22,Pedro de la Rosa,HRT,1:30.592,,
23,23,Narain Karthikeyan,HRT,1:30.593,,
24,25,Charles Pic,Marussia,1:30.662,,
