round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1989-03-26,,Autódromo Internacional Nelson Piquet,Brazil
2,San Marino Grand Prix,1989-04-23,,Autodromo Enzo e Dino Ferrari,Italy
3,Monaco Grand Prix,1989-05-07,,Circuit de Monaco,Monaco
4,Mexican Grand Prix,1989-05-28,,Autódromo Hermanos Rodríguez,Mexico
5,United States Grand Prix,1989-06-04,,Phoenix street circuit,USA
6,Canadian Grand Prix,1989-06-18,,Circuit Gilles Villeneuve,Canada
7,French Grand Prix,1989-07-09,,Circuit Paul Ricard,France
8,British Grand Prix,1989-07-16,,Silverstone Circuit,UK
9,German Grand Prix,1989-07-30,,Hockenheimring,Germany
10,Hungarian Grand Prix,1989-08-13,,Hungaroring,Hungary
11,Belgian Grand Prix,1989-08-27,,Circuit de Spa-Francorchamps,Belgium
12,Italian Grand Prix,1989-09-10,,Autodromo Nazionale di Monza,Italy
13,Portuguese Grand Prix,1989-09-24,,Autódromo do Estoril,Portugal
14,Spanish Grand Prix,1989-10-01,,Circuito de Jerez,Spain
15,Japanese Grand Prix,1989-10-22,,Suzuka Circuit,Japan
16,Australian Grand Prix,1989-11-05,,Adelaide Street Circuit,Australia
