position,number,driver,constructor,Q1,Q2,Q3
1,1,Fernando Alonso,Renault,1:14.232,1:13.622,1:13.962
2,9,Mark Webber,Williams,1:14.305,1:13.728,1:14.082
3,3,Kimi Räikkönen,McLaren,1:13.887,1:13.532,1:14.140
4,4,Juan Pablo Montoya,McLaren,1:14.483,1:14.295,1:14.664
5,11,Rubens Barrichello,Honda,1:14.766,1:14.312,1:15.804
6,8,Jarno Trulli,Toyota,1:14.883,1:14.211,1:15.857
7,14,David Coulthard,Red Bull,1:15.090,1:13.687,1:16.426
8,10,Nico Rosberg,Williams,1:14.888,1:13.909,1:16.636
9,2,Giancarlo Fisichella,Renault,1:14.614,1:13.647,1:17.260
10,7,Ralf Schumacher,Toyota,1:14.412,1:14.398,
11,15,Christian Klien,Red Bull,1:14.489,1:14.747,
12,20,Vitantonio Liuzzi,Toro Rosso,1:15.314,1:14.969,
13,12,Jenson Button,Honda,1:15.085,1:14.982,
14,17,Jacques Villeneuve,BMW Sauber,1:15.316,1:15.052,
15,16,Nick Heidfeld,BMW Sauber,1:15.324,1:15.137,
16,19,Christijan Albers,MF1,1:15.598,,
17,18,Tiago Monteiro,MF1,1:15.993,,
18,21,Scott Speed,Toro Rosso,1:16.236,,
19,22,Takuma Sato,Super Aguri,1:17.276,,
20,23,Franck Montagny,Super Aguri,1:17.502,,
21,6,Felipe Massa,Ferrari,,,
22,5,Michael Schumacher,Ferrari,,,
