position,number,driver,constructor,Q1,Q2,Q3
1,2,Rubens Barrichello,Ferrari,1:20.089,,
2,3,Juan Pablo Montoya,Williams,1:20.620,,
3,1,Michael Schumacher,Ferrari,1:20.637,,
4,8,Fernando Alonso,Renault,1:20.645,,
5,10,Takuma Sato,BAR,1:20.715,,
6,9,Jenson Button,BAR,1:20.786,,
7,6,Kimi Räikkönen,McLaren,1:20.877,,
8,4,Antônio Pizzonia,Williams,1:20.888,,
9,7,Jarno Trulli,Renault,1:21.027,,
10,5,David Coulthard,McLaren,1:21.049,,
11,16,Ricardo Zonta,Toyota,1:21.520,,
12,14,Mark Webber,Jaguar,1:21.602,,
13,17,Olivier Panis,Toyota,1:21.841,,
14,15,Christian Klien,Jaguar,1:21.989,,
15,11,Giancarlo Fisichella,Sauber,1:22.239,,
16,12,Felipe Massa,Sauber,1:22.287,,
17,18,Nick Heidfeld,Jordan,1:22.301,,
18,19,Giorgio Pantano,Jordan,1:23.239,,
19,20,Zsolt Baumgartner,Minardi,1:24.808,,
20,21,Gianmaria Bruni,Minardi,1:24.910,,
