position,number,driver,constructor,Q1,Q2,Q3
1,6,Kimi Räikkönen,Ferrari,1:31.522,1:31.237,1:31.450
2,1,Fernando Alonso,McLaren,1:31.074,1:30.983,1:31.741
3,5,Felipe Massa,Ferrari,1:31.447,1:30.912,1:31.778
4,9,Nick Heidfeld,BMW Sauber,1:31.889,1:31.652,1:31.840
5,10,Robert Kubica,BMW Sauber,1:31.961,1:31.444,1:32.123
6,15,Mark Webber,Red Bull,1:32.629,1:31.661,1:32.476
7,4,Heikki Kovalainen,Renault,1:32.594,1:31.783,1:32.478
8,12,Jarno Trulli,Toyota,1:32.381,1:31.859,1:32.501
9,11,Ralf Schumacher,Toyota,1:32.446,1:31.843,1:32.570
10,2,Lewis Hamilton,McLaren,1:31.587,1:31.185,1:33.833
11,16,Nico Rosberg,Williams,1:32.117,1:31.978,
12,17,Alexander Wurz,Williams,1:32.173,1:31.996,
13,3,Giancarlo Fisichella,Renault,1:32.378,1:32.010,
14,8,Rubens Barrichello,Honda,1:32.674,1:32.221,
15,23,Anthony Davidson,Super Aguri,1:32.793,1:32.451,
16,22,Takuma Sato,Super Aguri,1:32.678,1:32.838,
17,7,Jenson Button,Honda,1:32.983,,
18,19,Scott Speed,Toro Rosso,1:33.038,,
19,18,Vitantonio Liuzzi,Toro Rosso,1:33.148,,
20,14,David Coulthard,Red Bull,1:33.151,,
21,20,Adrian Sutil,Spyker,1:34.500,,
22,21,Markus Winkelhock,Spyker,1:35.940,,
