round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1980-01-13,,Autódromo Juan y Oscar Gálvez,Argentina
2,Brazilian Grand Prix,1980-01-27,,Autódromo José Carlos Pace,Brazil
3,South African Grand Prix,1980-03-01,,Kyalami,South Africa
4,United States Grand Prix West,1980-03-30,,Long Beach,USA
5,Belgian Grand Prix,1980-05-04,,Zolder,Belgium
6,Monaco Grand Prix,1980-05-18,,Circuit de Monaco,Monaco
7,French Grand Prix,1980-06-29,,Circuit Paul Ricard,France
8,British Grand Prix,1980-07-13,,Brands Hatch,UK
9,German Grand Prix,1980-08-10,,Hockenheimring,Germany
10,Austrian Grand Prix,1980-08-17,,Red Bull Ring,Austria
11,Dutch Grand Prix,1980-08-31,,Circuit Park Zandvoort,Netherlands
12,Italian Grand Prix,1980-09-14,,Autodromo Enzo e Dino Ferrari,Italy
13,Canadian Grand Prix,1980-09-28,,Circuit Gilles Villeneuve,Canada
14,United States Grand Prix,1980-10-05,,Watkins Glen,USA
