round,raceName,date,time,circuit,country
1,Australian Grand Prix,2008-03-16,04:30:00Z,Albert Park Grand Prix Circuit,Australia
2,Malaysian Grand Prix,2008-03-23,07:00:00Z,Sepang International Circuit,Malaysia
3,Bahrain Grand Prix,2008-04-06,11:30:00Z,Bahrain International Circuit,Bahrain
4,Spanish Grand Prix,2008-04-27,12:00:00Z,Circuit de Barcelona-Catalunya,Spain
5,Turkish Grand Prix,2008-05-11,12:00:00Z,Istanbul Park,Turkey
6,Monaco Grand Prix,2008-05-25,12:00:00Z,Circuit de Monaco,Monaco
7,Canadian Grand Prix,2008-06-08,17:00:00Z,Circuit Gilles Villeneuve,Canada
8,French Grand Prix,2008-06-22,12:00:00Z,Circuit de Nevers Magny-Cours,France
9,British Grand Prix,2008-07-06,12:00:00Z,Silverstone Circuit,UK
10,German Grand Prix,2008-07-20,12:00:00Z,Hockenheimring,Germany
11,Hungarian Grand Prix,2008-08-03,12:00:00Z,Hungaroring,Hungary
12,European Grand Prix,2008-08-24,12:00:00Z,Valencia Street Circuit,Spain
13,Belgian Grand Prix,2008-09-07,12:00:00Z,Circuit de Spa-Francorchamps,Belgium
14,Italian Grand Prix,2008-09-14,12:00:00Z,Autodromo Nazionale di Monza,Italy
15,Singapore Grand Prix,2008-09-28,12:00:00Z,Marina Bay Street Circuit,Singapore
16,Japanese Grand Prix,2008-10-12,04:30:00Z,Fuji Speedway,Japan
17,Chinese Grand Prix,2008-10-19,07:00:00Z,Shanghai International Circuit,China
18,Brazilian Grand Prix,2008-11-02,17:00:00Z,Autódromo José Carlos Pace,Brazil
