position,number,driver,constructor,Q1,Q2,Q3
1,0,Damon Hill,Williams,1:16.282,,
2,2,Nigel Mansell,Williams,1:16.359,,
3,5,Michael Schumacher,Benetton,1:16.707,,
4,27,Jean Alesi,Ferrari,1:16.954,,
5,28,Gerhard Berger,Ferrari,1:16.959,,
6,15,Eddie Irvine,Jordan,1:17.441,,
7,14,Rubens Barrichello,Jordan,1:17.482,,
8,6,Jos Verstappen,Benetton,1:17.645,,
9,7,Mika Häkkinen,McLaren,1:17.768,,
10,30,Heinz-Harald Frentzen,Sauber,1:17.830,,
11,29,Andrea de Cesaris,Sauber,1:17.866,,
12,8,Martin Brundle,McLaren,1:18.031,,
13,26,Olivier Panis,Ligier,1:18.044,,
14,3,Ukyo Katayama,Tyrrell,1:18.192,,
15,25,Éric Bernard,Ligier,1:18.236,,
16,23,Pierluigi Martini,Minardi,1:18.248,,
17,4,Mark Blundell,Tyrrell,1:18.381,,
18,9,Christian Fittipaldi,Footwork,1:18.568,,
19,12,Johnny Herbert,Team Lotus,1:18.715,,
20,20,Érik Comas,Larrousse,1:18.811,,
21,24,Michele Alboreto,Minardi,1:18.890,,
22,10,Gianni Morbidelli,Footwork,1:18.936,,
23,11,Alessandro Zanardi,Team Lotus,1:19.066,,
24,31,David Brabham,Simtek,1:19.771,,
25,19,Olivier Beretta,Larrousse,1:19.863,,
26,32,Jean-Marc Gounon,Simtek,1:21.829,,
