position,number,driver,constructor,Q1,Q2,Q3
1,6,David Coulthard,Williams,1:53.241,,
2,5,Damon Hill,Williams,1:54.057,,
3,1,Michael Schumacher,Benetton,1:54.272,,
4,15,Eddie Irvine,Jordan,1:54.381,,
5,8,Mika Häkkinen,McLaren,1:54.529,,
6,27,Jean Alesi,Ferrari,1:54.637,,
7,4,Mika Salo,Tyrrell,1:54.757,,
8,28,Gerhard Berger,Ferrari,1:55.276,,
9,30,Heinz-Harald Frentzen,Sauber,1:55.583,,
10,14,Rubens Barrichello,Jordan,1:56.114,,
11,6,Johnny Herbert,Benetton,1:57.068,,
12,9,Gianni Morbidelli,Footwork,1:57.092,,
13,24,Luca Badoer,Minardi,1:57.167,,
14,12,Jos Verstappen,Simtek,1:57.231,,
15,3,Ukyo Katayama,Tyrrell,1:57.484,,
16,23,Pierluigi Martini,Minardi,1:58.066,,
17,7,Mark Blundell,McLaren,1:58.660,,
18,26,Olivier Panis,Ligier,1:58.824,,
19,25,Aguri Suzuki,Ligier,1:58.882,,
20,11,Domenico Schiattarella,Simtek,1:59.539,,
21,29,Karl Wendlinger,Sauber,2:00.751,,
22,17,Andrea Montermini,Pacific,2:01.763,,
23,16,Bertrand Gachot,Pacific,2:04.050,,
24,22,Roberto Moreno,Forti,2:04.481,,
25,21,Pedro Diniz,Forti,2:05.932,,
26,10,Taki Inoue,Footwork,2:07.298,,
