round,raceName,date,time,circuit,country
1,Monaco Grand Prix,1961-05-14,,Circuit de Monaco,Monaco
2,Dutch Grand Prix,1961-05-22,,Circuit Park Zandvoort,Netherlands
3,Belgian Grand Prix,1961-06-18,,Circuit de Spa-Francorchamps,Belgium
4,French Grand Prix,1961-07-02,,Reims-Gueux,France
5,British Grand Prix,1961-07-15,,Aintree,UK
6,German Grand Prix,1961-08-06,,Nürburgring,Germany
7,Italian Grand Prix,1961-09-10,,Autodromo Nazionale di Monza,Italy
8,United States Grand Prix,1961-10-08,,Watkins Glen,USA
