position,number,driver,constructor,Q1,Q2,Q3
1,6,Felipe Massa,Ferrari,1:27.306,1:27.059,1:26.907
2,5,Michael Schumacher,Ferrari,1:27.385,1:25.850,1:27.284
3,1,Fernando Alonso,Renault,1:27.861,1:26.917,1:27.321
4,2,Giancarlo Fisichella,Renault,1:28.175,1:27.346,1:27.564
5,7,Ralf Schumacher,Toyota,1:27.668,1:27.062,1:27.569
6,16,Nick Heidfeld,BMW Sauber,1:28.200,1:27.251,1:27.785
7,12,Jenson Button,Honda,1:28.222,1:26.872,1:27.790
8,3,Kimi Räikkönen,McLaren,1:28.236,1:27.202,1:27.866
9,17,Robert Kubica,BMW Sauber,1:28.212,1:27.405,1:28.167
10,9,Mark Webber,Williams,1:28.307,1:27.608,1:29.436
11,15,Christian Klien,Red Bull,1:28.271,1:27.852,
12,4,Pedro de la Rosa,McLaren,1:28.403,1:27.897,
13,8,Jarno Trulli,Toyota,1:28.549,1:27.973,
14,11,Rubens Barrichello,Honda,1:28.411,1:28.257,
15,10,Nico Rosberg,Williams,1:28.889,1:28.386,
16,19,Christijan Albers,MF1,1:29.021,1:28.639,
17,14,David Coulthard,Red Bull,1:29.136,,
18,21,Scott Speed,Toro Rosso,1:29.158,,
19,20,Vitantonio Liuzzi,Toro Rosso,1:29.250,,
20,18,Tiago Monteiro,MF1,1:29.901,,
21,23,Sakon Yamamoto,Super Aguri,1:30.607,,
22,22,Takuma Sato,Super Aguri,1:30.850,,
