round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1958-01-19,,Autódromo Juan y Oscar Gálvez,Argentina
2,Monaco Grand Prix,1958-05-18,,Circuit de Monaco,Monaco
3,Dutch Grand Prix,1958-05-26,,Circuit Park Zandvoort,Netherlands
4,Indianapolis 500,1958-05-30,,Indianapolis Motor Speedway,USA
5,Belgian Grand Prix,1958-06-15,,Circuit de Spa-Francorchamps,Belgium
6,French Grand Prix,1958-07-06,,Reims-Gueux,France
7,British Grand Prix,1958-07-19,,Silverstone Circuit,UK
8,German Grand Prix,1958-08-03,,Nürburgring,Germany
9,Portuguese Grand Prix,1958-08-24,,Circuito da Boavista,Portugal
10,Italian Grand Prix,1958-09-07,,Autodromo Nazionale di Monza,Italy
11,Moroccan Grand Prix,1958-10-19,,Ain Diab,Morocco
