position,number,driver,constructor,laps,grid,status,points
1,77,Valtteri Bottas,Mercedes,71,1,Finished,25
2,16,Charles Leclerc,Ferrari,71,7,Finished,18
3,4,Lando Norris,McLaren,71,3,Finished,16
4,44,Lewis Hamilton,Mercedes,71,5,Finished,12
5,55,Carlos Sainz,McLaren,71,8,Finished,10
6,11,Sergio Pérez,Racing Point,71,6,Finished,8
7,10,Pierre Gasly,AlphaTauri,71,12,Finished,6
8,31,Esteban Ocon,Renault,71,14,Finished,4
9,99,Antonio Giovinazzi,Alfa Romeo,71,18,Finished,2
10,5,Sebastian Vettel,Ferrari,71,11,Finished,1
11,6,Nicholas Latifi,Williams,71,20,Finished,0
12,26,Daniil Kvyat,AlphaTauri,69,13,Suspension,0
13,23,Alexander Albon,Red Bull,67,4,Electronics,0
14,7,Kimi Räikkönen,Alfa Romeo,53,19,Wheel,0
15,63,George Russell,Williams,49,17,Fuel pressure,0
16,8,Romain Grosjean,Haas F1 Team,49,15,Brakes,0
17,20,Kevin Magnussen,Haas F1 Team,24,16,Brakes,0
18,18,Lance Stroll,Racing Point,20,9,Engine,0
19,3,Daniel Ricciardo,Renault,17,10,Overheating,0
20,33,Max Verstappen,Red Bull,11,2,Electronics,0
