Position,Driver,Constructor,Points,Wins
1,Patrick Depailler,Tyrrell,23,1
2,Carlos Reutemann,Ferrari,18,2
3,Mario Andretti,Team Lotus,18,1
4,Niki Lauda,Brabham,16,0
5,Ronnie Peterson,Team Lotus,14,1
6,John Watson,Brabham,7,0
7,Emerson Fittipaldi,Fittipaldi,6,0
8,Jody Scheckter,Wolf,4,0
9,Jacques Laffite,Ligier,4,0
10,Didier Pironi,Tyrrell,4,0
11,Alan Jones,Williams,3,0
12,James Hunt,McLaren,3,0
13,Clay Regazzoni,Shadow,2,0
14,Riccardo Patrese,Arrows,2,0
15,Patrick Tambay,McLaren,1,0
16,Jochen Mass,ATS,0,0
17,Jean-Pierre Jarier,ATS,0,0
18,Gilles Villeneuve,Ferrari,0,0
19,Rolf Stommelen,Arrows,0,0
20,Hector Rebaque,Team Lotus,0,0
21,Jean-Pierre Jabouille,Renault,0,0
22,Brett Lunger,McLaren,0,0
23,Vittorio Brambilla,Surtees,0,0
24,Hans-Joachim Stuck,Shadow,0,0
25,Jacky Ickx,Ensign,0,0
26,Rupert Keegan,Surtees,0,0
27,Arturo Merzario,Merzario,0,0
28,Danny Ongais,Ensign,0,0
29,Lamberto Leoni,Ensign,0,0
30,Keke Rosberg,Theodore,0,0
