position,number,driver,constructor,Q1,Q2,Q3
1,1,Michael Schumacher,Ferrari,1:11.708,,
2,5,Ralf Schumacher,Williams,1:11.986,,
3,6,Juan Pablo Montoya,Williams,1:12.252,,
4,3,Mika Häkkinen,McLaren,1:12.309,,
5,2,Rubens Barrichello,Ferrari,1:12.327,,
6,16,Nick Heidfeld,Sauber,1:12.434,,
7,4,David Coulthard,McLaren,1:12.500,,
8,11,Jarno Trulli,Jordan,1:12.605,,
9,12,Jean Alesi,Jordan,1:12.607,,
10,8,Jenson Button,Benetton,1:12.805,,
11,17,Kimi Räikkönen,Sauber,1:12.881,,
12,7,Giancarlo Fisichella,Benetton,1:12.942,,
13,9,Olivier Panis,BAR,1:13.122,,
14,18,Eddie Irvine,Jaguar,1:13.189,,
15,22,Heinz-Harald Frentzen,Prost,1:13.281,,
16,19,Pedro de la Rosa,Jaguar,1:13.679,,
17,21,Fernando Alonso,Minardi,1:13.991,,
18,10,Jacques Villeneuve,BAR,1:14.012,,
19,15,Enrique Bernoldi,Arrows,1:14.129,,
20,14,Jos Verstappen,Arrows,1:14.138,,
21,23,Tomáš Enge,Prost,1:14.185,,
22,20,Alex Yoong,Minardi,1:15.247,,
