position,number,driver,constructor,laps,grid,status,points
1,3,Mika Häkkinen,McLaren,73,4,Finished,10
2,1,Michael Schumacher,Ferrari,73,1,Finished,6
3,4,David Coulthard,McLaren,73,7,Finished,4
4,11,Jarno Trulli,Jordan,73,8,Finished,3
5,18,Eddie Irvine,Jaguar,73,14,Finished,2
6,16,Nick Heidfeld,Sauber,73,6,Finished,1
7,12,Jean Alesi,Jordan,72,9,+1 Lap,0
8,7,Giancarlo Fisichella,Benetton,72,12,+1 Lap,0
9,8,Jenson Button,Benetton,72,10,+1 Lap,0
10,22,Heinz-Harald Frentzen,Prost,72,15,+1 Lap,0
11,9,Olivier Panis,BAR,72,13,+1 Lap,0
12,19,Pedro de la Rosa,Jaguar,72,16,+1 Lap,0
13,15,Enrique Bernoldi,Arrows,72,19,+1 Lap,0
14,23,Tomáš Enge,Prost,72,21,+1 Lap,0
15,2,Rubens Barrichello,Ferrari,71,5,Engine,0
16,10,Jacques Villeneuve,BAR,45,18,Suspension,0
17,14,Jos Verstappen,Arrows,44,20,Engine,0
18,6,Juan Pablo Montoya,Williams,38,3,Hydraulics,0
19,20,Alex Yoong,Minardi,38,22,Gearbox,0
20,5,Ralf Schumacher,Williams,36,2,Spun off,0
21,21,Fernando Alonso,Minardi,36,17,Driveshaft,0
22,17,Kimi Räikkönen,Sauber,2,11,Driveshaft,0
