Position,Driver,Constructor,Points,Wins
1,René Arnoux,Renault,18,2
2,Nelson Piquet,Brabham,18,1
3,Alan Jones,Williams,13,1
4,Didier Pironi,Ligier,8,0
5,Riccardo Patrese,Arrows,7,0
6,Jacques Laffite,Ligier,6,0
7,Elio de Angelis,Team Lotus,6,0
8,Emerson Fittipaldi,Fittipaldi,4,0
9,Keke Rosberg,Fittipaldi,4,0
10,Derek Daly,Tyrrell,3,0
11,John Watson,McLaren,3,0
12,Alain Prost,McLaren,3,0
13,Bruno Giacomelli,Alfa Romeo,2,0
14,Jody Scheckter,Ferrari,2,0
15,Carlos Reutemann,Williams,2,0
16,Jochen Mass,Arrows,1,0
17,Ricardo Zunino,Brabham,0,0
18,Jean-Pierre Jarier,Tyrrell,0,0
19,Marc Surer,ATS,0,0
20,Clay Regazzoni,Ensign,0,0
21,Jean-Pierre Jabouille,Renault,0,0
22,Mario Andretti,Team Lotus,0,0
23,Geoff Lees,Shadow,0,0
24,Gilles Villeneuve,Ferrari,0,0
25,Patrick Depailler,Alfa Romeo,0,0
26,Eddie Cheever,Osella,0,0
27,Jan Lammers,ATS,0,0
28,Dave Kennedy,Shadow,0,0
29,Stefan Johansson,Shadow,0,0
30,Stephen South,McLaren,0,0
