position,number,driver,constructor,laps,grid,status,points
1,1,Sebastian Vettel,Red Bull,55,2,Finished,25
2,2,Mark Webber,Red Bull,55,1,Finished,18
3,5,Fernando Alonso,Ferrari,55,4,Finished,15
4,6,Felipe Massa,Ferrari,55,6,Finished,12
5,9,Kimi Räikkönen,Lotus F1,55,5,Finished,10
6,12,Nico Hülkenberg,Force India,55,8,Finished,8
7,10,Romain Grosjean,Lotus F1,55,7,Finished,6
8,17,Jean-Éric Vergne,Toro Rosso,55,16,Finished,4
9,16,Daniel Ricciardo,Toro Rosso,55,21,Finished,2
10,4,Lewis Hamilton,McLaren,55,3,Finished,1
11,15,Sergio Pérez,Sauber,55,12,Finished,0
12,11,Paul di Resta,Force India,55,14,Finished,0
13,7,Michael Schumacher,Mercedes,55,10,Finished,0
14,18,Pastor Maldonado,Williams,55,15,Finished,0
15,19,Bruno Senna,Williams,55,17,Finished,0
16,21,Vitaly Petrov,Caterham,54,18,+1 Lap,0
17,20,Heikki Kovalainen,Caterham,54,19,+1 Lap,0
18,24,Timo Glock,Marussia,54,20,+1 Lap,0
19,25,Charles Pic,Marussia,53,24,+2 Laps,0
20,23,Narain Karthikeyan,HRT,53,23,+2 Laps,0
21,22,Pedro de la Rosa,HRT,16,22,Throttle,0
22,14,Kamui Kobayashi,Sauber,16,13,Collision damage,0
23,8,Nico Rosberg,Mercedes,1,9,Collision,0
24,3,Jenson Button,McLaren,0,11,Collision,0
