position,number,driver,constructor,Q1,Q2,Q3
1,2,Mark Webber,Red Bull,1:38.397,1:38.220,1:37.242
2,1,Sebastian Vettel,Red Bull,1:38.208,1:37.767,1:37.316
3,4,Lewis Hamilton,McLaren,1:39.180,1:38.000,1:37.469
4,5,Fernando Alonso,Ferrari,1:39.144,1:37.987,1:37.534
5,9,Kimi Räikkönen,Lotus F1,1:38.887,1:38.227,1:37.625
6,6,Felipe Massa,Ferrari,1:38.937,1:38.253,1:37.884
7,10,Romain Grosjean,Lotus F1,1:38.863,1:38.275,1:37.934
8,12,Nico Hülkenberg,Force India,1:38.981,1:38.428,1:38.266
9,8,Nico Rosberg,Mercedes,1:38.999,1:38.417,1:38.361
10,7,Michael Schumacher,Mercedes,1:38.808,1:38.436,1:38.513
11,3,Jenson Button,McLaren,1:38.615,1:38.441,
12,15,Sergio Pérez,Sauber,1:38.630,1:38.460,
13,14,Kamui Kobayashi,Sauber,1:38.719,1:38.594,
14,11,Paul di Resta,Force India,1:38.942,1:38.643,
15,18,Pastor Maldonado,Williams,1:39.024,1:38.725,
16,16,Daniel Ricciardo,Toro Rosso,1:38.784,1:39.084,
17,17,Jean-Éric Vergne,Toro Rosso,1:38.744,1:39.340,
18,19,Bruno Senna,Williams,1:39.443,,
19,21,Vitaly Petrov,Caterham,1:40.207,,
20,20,Heikki Kovalainen,Caterham,1:40.333,,
21,25,Charles Pic,Marussia,1:41.317,,
22,24,Timo Glock,Marussia,1:41.371,,
23,22,Pedro de la Rosa,HRT,1:42.881,,
