Position,Driver,Constructor,Points,Wins
1,Lorenzo Bandini,Ferrari,10,0
2,Jackie Stewart,BRM,9,1
3,John Surtees,Ferrari,9,1
4,Jochen Rindt,Cooper-Maserati,6,0
5,Graham Hill,BRM,4,0
6,Jack Brabham,Brabham-Repco,3,0
7,Bob Bondurant,BRM,3,0
8,Richie Ginther,Cooper-Maserati,2,0
9,Guy Ligier,Cooper-Maserati,0,0
10,Jo Bonnier,Cooper-Maserati,0,0
11,Dan Gurney,Eagle-Climax,0,0
12,Jim Clark,Lotus-Climax,0,0
13,Mike Spence,Lotus-BRM,0,0
14,Jo Siffert,Brabham-BRM,0,0
15,Denny Hulme,Brabham-Climax,0,0
16,Bruce McLaren,McLaren-Ford,0,0
17,Bob Anderson,Brabham-Climax,0,0
18,Peter Arundell,Lotus-BRM,0,0
19,Vic Wilson,BRM,0,0
