position,number,driver,constructor,laps,grid,status,points
1,44,Lewis Hamilton,Mercedes,66,1,Finished,26
2,77,Valtteri Bottas,Mercedes,66,2,Finished,18
3,33,Max Verstappen,Red Bull,66,3,Finished,15
4,16,Charles Leclerc,Ferrari,66,4,Finished,12
5,10,Pierre Gasly,AlphaTauri,65,9,+1 Lap,10
6,55,Carlos Sainz,McLaren,65,7,+1 Lap,8
7,11,Sergio Pérez,Racing Point,65,5,+1 Lap,6
8,31,Esteban Ocon,Renault,65,11,+1 Lap,4
9,3,Daniel Ricciardo,Renault,65,10,+1 Lap,2
10,5,Sebastian Vettel,Ferrari,65,15,+1 Lap,1
11,7,Kimi Räikkönen,Alfa Romeo,65,16,+1 Lap,0
12,23,Alexander Albon,Red Bull,65,6,+1 Lap,0
13,4,Lando Norris,McLaren,65,8,+1 Lap,0
14,63,George Russell,Williams,65,14,+1 Lap,0
15,99,Antonio Giovinazzi,Alfa Romeo,65,17,+1 Lap,0
16,20,Kevin Magnussen,Haas F1 Team,65,19,+1 Lap,0
17,8,Romain Grosjean,Haas F1 Team,65,18,+1 Lap,0
18,6,Nicholas Latifi,Williams,64,20,+2 Laps,0
19,26,Daniil Kvyat,AlphaTauri,64,13,+2 Laps,0
20,18,Lance Stroll,Racing Point,51,12,Collision damage,0
