Position,Driver,Constructor,Points,Wins
1,Jackie Stewart,Tyrrell,15,1
2,Mario Andretti,Ferrari,9,1
3,Jacky Ickx,Ferrari,6,0
4,Chris Amon,Matra,6,0
5,Clay Regazzoni,Ferrari,4,0
6,Reine Wisell,Lotus-Ford,3,0
7,Pedro Rodríguez,BRM,3,0
8,Denny Hulme,McLaren,3,0
9,Jean-Pierre Beltoise,Matra,1,0
10,François Cevert,Tyrrell,0,0
11,Brian Redman,Surtees,0,0
12,Peter Gethin,McLaren,0,0
13,Graham Hill,Brabham,0,0
14,Tim Schenken,Brabham,0,0
15,Howden Ganley,BRM,0,0
16,Ronnie Peterson,March-Ford,0,0
17,Henri Pescarolo,March-Ford,0,0
18,John Surtees,Surtees,0,0
19,Rolf Stommelen,Surtees,0,0
20,Andrea de Adamich,March-Alfa Romeo,0,0
21,Emerson Fittipaldi,Lotus-Ford,0,0
22,Alex Soler-Roig,March-Ford,0,0
23,Dave Charlton,Brabham,0,0
24,Jo Siffert,BRM,0,0
25,John Love,March-Ford,0,0
26,Jackie Pretorius,Brabham,0,0
27,Jo Bonnier,McLaren,0,0
