position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:46.397,1:44.931,1:44.381
2,2,Mark Webber,Red Bull,1:47.332,1:45.651,1:44.732
3,4,Jenson Button,McLaren,1:46.956,1:45.472,1:44.804
4,3,Lewis Hamilton,McLaren,1:47.014,1:46.829,1:44.809
5,5,Fernando Alonso,Ferrari,1:47.054,1:45.779,1:44.874
6,6,Felipe Massa,Ferrari,1:47.945,1:45.955,1:45.800
7,8,Nico Rosberg,Mercedes,1:47.688,1:46.405,1:46.013
8,7,Michael Schumacher,Mercedes,1:48.819,1:46.043,
9,14,Adrian Sutil,Force India,1:47.952,1:47.093,
10,15,Paul di Resta,Force India,1:48.022,1:47.486,
11,17,Sergio Pérez,Sauber,1:47.717,1:47.616,
12,11,Rubens Barrichello,Williams,1:48.061,1:48.082,
13,12,Pastor Maldonado,Williams,1:49.710,1:48.270,
14,18,Sébastien Buemi,Toro Rosso,1:48.753,1:48.634,
15,9,Bruno Senna,Renault,1:48.861,1:48.662,
16,19,Jaime Alguersuari,Toro Rosso,1:49.588,1:49.862,
17,16,Kamui Kobayashi,Sauber,1:48.054,,
18,10,Vitaly Petrov,Renault,1:49.835,,
19,20,Heikki Kovalainen,Lotus,1:50.948,,
20,21,Jarno Trulli,Lotus,1:51.012,,
21,24,Timo Glock,Virgin,1:52.154,,
22,25,Jérôme d'Ambrosio,Virgin,1:52.363,,
23,22,Daniel Ricciardo,HRT,1:52.404,,
24,23,Vitantonio Liuzzi,HRT,1:52.810,,
