round,raceName,date,time,circuit,country
1,Australian Grand Prix,2002-03-03,,Albert Park Grand Prix Circuit,Australia
2,Malaysian Grand Prix,2002-03-17,,Sepang International Circuit,Malaysia
3,Brazilian Grand Prix,2002-03-31,,Autódromo José Carlos Pace,Brazil
4,San Marino Grand Prix,2002-04-14,,Autodromo Enzo e Dino Ferrari,Italy
5,Spanish Grand Prix,2002-04-28,,Circuit de Barcelona-Catalunya,Spain
6,Austrian Grand Prix,2002-05-12,,Red Bull Ring,Austria
7,Monaco Grand Prix,2002-05-26,,Circuit de Monaco,Monaco
8,Canadian Grand Prix,2002-06-09,,Circuit Gilles Villeneuve,Canada
9,European Grand Prix,2002-06-23,,Nürburgring,Germany
10,British Grand Prix,2002-07-07,,Silverstone Circuit,UK
11,French Grand Prix,2002-07-21,,Circuit de Nevers Magny-Cours,France
12,German Grand Prix,2002-07-28,,Hockenheimring,Germany
13,Hungarian Grand Prix,2002-08-18,,Hungaroring,Hungary
14,Belgian Grand Prix,2002-09-01,,Circuit de Spa-Francorchamps,Belgium
15,Italian Grand Prix,2002-09-15,,Autodromo Nazionale di Monza,Italy
16,United States Grand Prix,2002-09-29,,Indianapolis Motor Speedway,USA
17,Japanese Grand Prix,2002-10-13,,Suzuka Circuit,Japan
